Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2567,110,00D0095B3C63,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3044020257109468,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2565,102,00D00952CB7F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.210479532163743,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2560,93,00D007BE54AA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1058281250000002,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2525,100,00D00972FE4A,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2055445544554455,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2501,111,00D009174DCA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3509956017592963,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2501,109,00D009997944,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3266533386645343,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2487,102,00D009989A18,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.248443908323281,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2448,111,00D007BADDD7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3802450980392158,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2435,82,00D009113BCA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0250841889117044,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2416,97,00D009701F96,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.222135761589404,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2416,98,00D0095ADAC6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2347350993377484,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2407,116,00D009705D11,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.466987951807229,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2402,93,00D009720A04,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1785678601165697,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,96,00D0096FB599,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2196327212020033,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,104,00D0096FFEBB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3212687813021704,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,105,00D009700E1B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3339732888146911,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,99,00D009703964,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2577462437395661,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,85,00D00970EDB1,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0798831385642738,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,108,00D00971E0C2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3720868113522537,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,101,00D00971E458,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2831552587646076,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,97,00D00971F167,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2323372287145242,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,83,00D00972CC25,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.054474123539232,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,96,00D00972CFB4,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2196327212020033,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2396,92,30155C97D461A7C000728491,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.16881469115192,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2389,100,00D0097086A9,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2741732942653832,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2387,101,00D0096FC3C6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2879932970255552,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2387,88,00D0097000F2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1222119815668203,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2387,103,00D009700F5B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3134981147884373,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2387,92,00D00971F4D2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1732216170925849,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2372,101,00D007C067FE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2961382799325465,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2293,94,00D0097833AC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2478674225904929,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2285,98,00D00972BFAE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3055229759299782,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2284,103,00D00971D5F6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3727320490367776,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2271,83,00D009986016,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.112514310876266,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2260,102,00D0096FD469,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3738407079646018,T-shirt
