Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Kategori
22319 Softshell Blackpool kl2 or/g,Misligholdt med restværdi,1,2234,51,30155C97D461A7C000A87C8A,Andet
22319 Softshell Blackpool kl2 or/g,Misligholdt med restværdi,1,2234,61,30155C97D461A7C000A87CB4,Andet
04969 Vaskenet 50X70 Hvid M Fane,Alm.slid uden restværdi,1,2192,5,30155C97D461A7C000495C85,Andet
23059 Arb.sko Vinterst AlaskaXL S3,BTS fejl uden restværdi,1,2116,1,00D00A618D64,Andet
04154 Ben Dame M/Skrål HV P/B,Misligholdt med restværdi,1,2114,32,30155C97D461A7C0000F57CF,Andet
04154 Ben Dame M/Skrål HV P/B,Alm.slid uden restværdi,1,2109,106,30155C97D461A7C000C33A0A,Andet
04154 Ben Dame M/Skrål HV P/B,Alm.slid uden restværdi,1,2109,100,30155C97D461A7C000C33A98,Andet
22238 Strikbluse m V herre Scania,Bortkommet med restværdi,1,2101,3,30155C97D461A7C000EB0B3D,Andet
04154 Ben Dame M/Skrål HV P/B,Misligholdt med restværdi,1,2100,95,30155C97D461A7C0000F58F3,Andet
09104 Cardigan Vask,"Kass. af RETUR,MINIMU,afmeld",1,2087,1,000098541659,Andet
07821 Sort function soft shell,Udgået Model,1,2054,13,30155C97D461A7C000C1A636,Andet
11343 Sjælevarmer marine,Udgået Model,1,2038,10,00D009883EEB,Andet
09573 Hue - Vask af Privat,"Kass. af RETUR,MINIMU,afmeld",1,2001,1,000098549897,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA891E,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,10,30155C97D461A7C000EA89BB,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,4,30155C97D461A7C000EA8AD8,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA8AE8,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA8B4E,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA95D0,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA95F5,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,5,30155C97D461A7C000EA95FE,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA9620,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA9729,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA974C,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1977,1,30155C97D461A7C000EA9821,Andet
11343 Sjælevarmer marine,Udgået Model,1,1973,10,00D009B2E1BC,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1971,90,30155C97D461A7C000EA9307,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1971,32,30155C97D461A7C000D5CDAC,Andet
23197 Rygsæk 2 rum 40L sort,Alm.slid uden restværdi,1,1971,3,30155C97D461A7C000C58410,Andet
23197 Rygsæk 2 rum 40L sort,Alm.slid uden restværdi,1,1971,2,30155C97D461A7C000EA6C76,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,1970,11,30155C97D461A7C000EB8289,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,1970,14,30155C97D461A7C000EB82FA,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,1970,12,30155C97D461A7C000EB833F,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,1970,16,30155C97D461A7C000EB8351,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1968,106,30155C97D461A7C000D5D94C,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1966,29,30155C97D461A7C000EA87C1,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1966,33,30155C97D461A7C000EA988E,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1965,98,30155C97D461A7C000D5CF22,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1965,96,30155C97D461A7C000D5CF4E,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1965,104,30155C97D461A7C000EA8FDF,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1963,92,30155C97D461A7C000EA8A26,Andet
