Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1817,62,30155C97D461A7C000CA7A84,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.0386791414419372,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1817,44,30155C97D461A7C000CA7D65,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",0.7371271326362135,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1775,32,30155C97D461A7C000E88380,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",0.5487774647887325,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1764,58,30155C97D461A7C000E87408,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.0008616780045352,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1749,7,30155C97D461A7C000CA79DB,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",0.12182961692395657,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1749,9,30155C97D461A7C000CA7D74,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",0.15663807890222986,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1731,117,30155C97D461A7C00136AA46,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.057469670710572,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1718,65,30155C97D461A7C000B95FC0,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.151688009313155,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1718,59,30155C97D461A7C000B95FF7,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.0453783469150175,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1716,89,30155C97D461A7C001237BF9,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.5787645687645688,T-shirt
12396 T-shirt 1/2 æ lady hvid PB,Alm.slid uden restværdi,1,1644,24,00D008468481,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",0.44437956204379564,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1613,87,30155C97D461A7C001535234,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.6418350898946064,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1607,136,30155C97D461A7C0015362CC,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.5761294337274427,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1605,123,30155C97D461A7C0015185E6,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.332785046728972,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1596,89,30155C97D461A7C0015315FF,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.697468671679198,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1593,114,30155C97D461A7C0016801C1,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.1783804143126178,T-shirt
